sample_id,status,converged,transfer_ready,output_ready,note
000000,valid,1,1,1,baseline
000001,valid,1,1,1,
000002,valid,1,1,1,
000003,valid,1,1,1,
000004,valid,1,1,1,
000005,valid,1,1,1,
000006,valid,1,1,1,
000007,fail,0,0,0,stable fail
000008,valid,1,1,1,
000009,valid,1,1,1,
000010,valid,1,1,1,
000011,valid,1,1,1,
000012,valid,1,1,1,
000013,valid,1,1,1,
000014,valid,1,1,1,
000015,fail,0,0,0,stable fail
000016,valid,1,1,1,
000017,valid,1,1,1,
000018,valid,1,1,1,
000019,valid,1,1,1,
000020,valid,1,1,1,
000021,valid,1,1,1,
000022,valid,1,1,1,
000023,fail,0,0,0,stable fail
000024,valid,1,1,1,
000025,valid,1,1,1,
000026,fail,0,0,0,stable fail
000027,valid,1,1,1,
000028,fail,0,0,0,stable fail
000029,valid,1,1,1,
000030,fail,0,0,0,stable fail
000031,valid,1,1,1,
000032,valid,1,1,1,
000033,valid,1,1,1,
000034,valid,1,1,1,
000035,valid,1,1,1,
000036,valid,1,1,1,
000037,valid,1,1,1,
000038,valid,1,1,1,
000039,valid,1,1,1,
000040,valid,1,1,1,
000041,valid,1,1,1,
000042,valid,1,1,1,
000043,valid,1,1,1,
000044,valid,1,1,1,
000045,valid,1,1,1,
000046,valid,1,1,1,
000047,valid,1,1,1,
000048,valid,1,1,1,
000049,fail,0,0,0,stable fail
000050,valid,1,1,1,
000051,valid,1,1,1,
000052,valid,1,1,1,
000053,valid,1,1,1,
000054,valid,1,1,1,
000055,valid,1,1,1,
000056,valid,1,1,1,
000057,fail,0,0,0,stable fail
000058,valid,1,1,1,
000059,valid,1,1,1,
000060,valid,1,1,1,
000061,fail,0,0,0,stable fail
000062,valid,1,1,1,
000063,valid,1,1,1,
000064,valid,1,1,1,
000065,fail,0,0,0,stable fail
000066,valid,1,1,1,
000067,valid,1,1,1,
000068,fail,0,0,0,stable fail
000069,valid,1,1,1,
000070,fail,0,0,0,stable fail
000071,valid,1,1,1,
000072,valid,1,1,1,
000073,valid,1,1,1,
000074,valid,1,1,1,
000075,valid,1,1,1,
000076,valid,1,1,1,
000077,valid,1,1,1,
000078,fail,0,0,0,stable fail
000079,valid,1,1,1,
000080,valid,1,1,1,
000081,valid,1,1,1,
000082,valid,1,1,1,
000083,valid,1,1,1,
000084,valid,1,1,1,
000085,valid,1,1,1,
000086,valid,1,1,1,
000087,valid,1,1,1,
000088,valid,1,1,1,
000089,valid,1,1,1,
000090,valid,1,1,1,
000091,valid,1,1,1,
000092,valid,1,1,1,
000093,valid,1,1,1,
000094,valid,1,1,1,
000095,valid,1,1,1,
000096,valid,1,1,1,
000097,valid,1,1,1,
000098,valid,1,1,1,
000099,valid,1,1,1,
000100,valid,1,1,1,
000101,valid,1,1,1,
000102,valid,1,1,1,
000103,valid,1,1,1,
000104,valid,1,1,1,
000105,valid,1,1,1,
000106,valid,1,1,1,
000107,valid,1,1,1,
000108,valid,1,1,1,
000109,valid,1,1,1,
000110,valid,1,1,1,
000111,valid,1,1,1,
000112,valid,1,1,1,
000113,valid,1,1,1,
000114,fail,0,0,0,stable fail
000115,valid,1,1,1,
000116,valid,1,1,1,
000117,valid,1,1,1,
000118,valid,1,1,1,
000119,valid,1,1,1,
000120,fail,0,0,0,stable fail
000121,fail,0,0,0,stable fail
000122,valid,1,1,1,
000123,valid,1,1,1,
000124,valid,1,1,1,
000125,valid,1,1,1,
000126,valid,1,1,1,
000127,valid,1,1,1,
000128,valid,1,1,1,
000129,valid,1,1,1,
000130,valid,1,1,1,
000131,fail,0,0,0,stable fail
000132,valid,1,1,1,
000133,valid,1,1,1,
000134,valid,1,1,1,
000135,valid,1,1,1,
000136,valid,1,1,1,
000137,valid,1,1,1,
000138,valid,1,1,1,
000139,valid,1,1,1,
000140,valid,1,1,1,
000141,valid,1,1,1,
000142,valid,1,1,1,
000143,valid,1,1,1,
000144,valid,1,1,1,
000145,valid,1,1,1,
000146,valid,1,1,1,
000147,valid,1,1,1,
000148,valid,1,1,1,
000149,valid,1,1,1,
000150,valid,1,1,1,
000151,valid,1,1,1,
000152,valid,1,1,1,
000153,valid,1,1,1,
000154,valid,1,1,1,
000155,valid,1,1,1,
000156,fail,0,0,0,stable fail
000157,valid,1,1,1,
000158,valid,1,1,1,
000159,valid,1,1,1,
000160,valid,1,1,1,
000161,valid,1,1,1,
000162,valid,1,1,1,
000163,valid,1,1,1,
000164,valid,1,1,1,
000165,valid,1,1,1,
000166,valid,1,1,1,
000167,valid,1,1,1,
000168,valid,1,1,1,
000169,valid,1,1,1,
000170,valid,1,1,1,
000171,valid,1,1,1,
000172,valid,1,1,1,
000173,valid,1,1,1,
000174,valid,1,1,1,
000175,valid,1,1,1,
000176,valid,1,1,1,
000177,valid,1,1,1,
000178,valid,1,1,1,
000179,valid,1,1,1,
000180,valid,1,1,1,
000181,valid,1,1,1,
000182,valid,1,1,1,
