sample_id,t_AlGaN_nm,x_AlGaN,N_AlGaN_cm3,t_pGaN_nm,N_pGaN_cm3,Lgd_um,group
000000,19.097362,0.23938862,2.7118402e+16,63.431568,1.563687e+17,2.3954317,base_800
000001,16.919286,0.2839961,1.3008143e+15,45.871191,8.6837439e+16,3.1813944,base_800
000002,17.073139,0.25111669,1.0732317e+15,61.304914,1.4208668e+17,1.7654095,base_800
000003,20.493168,0.2823739,3.03653e+16,45.001282,1.0732746e+17,3.163099,base_800
000004,20.528626,0.21640369,1.8227259e+16,41.307441,1.5982579e+17,3.05036,base_800
000005,11.374412,0.1980799,4.7588607e+16,40.467961,1.8797596e+17,3.3878075,base_800
000006,19.496508,0.23006685,1.0008965e+16,57.540414,2.8926393e+17,3.8036723,base_800
000007,10.890692,0.23568283,1.0219794e+16,59.153389,3.0926657e+17,3.7268866,base_800
000008,13.028896,0.2015215,1.0979485e+15,73.155721,5.4307613e+16,1.6834839,base_800
000009,14.812969,0.22862389,2.3272008e+15,60.744679,7.3197693e+16,3.7209677,base_800
000010,16.879401,0.19051183,6.3909949e+15,36.133871,5.1466058e+16,2.9328347,base_800
000011,17.477011,0.21891253,4.8449153e+15,49.315166,1.2974269e+17,2.7909245,base_800
000012,17.316213,0.23968807,2.728419e+16,69.611121,9.9188736e+16,3.4304762,base_800
000013,15.324556,0.19111752,1.5535328e+15,61.197758,2.4043924e+17,3.7736754,base_800
000014,20.173117,0.20358058,2.3996386e+16,70.199799,6.3071251e+16,2.0947087,base_800
000015,11.258467,0.27069804,1.0260873e+16,88.109282,5.0200619e+16,1.6499467,base_800
000016,14.523184,0.25873671,3.1414009e+16,68.043463,1.3954966e+17,2.3012353,base_800
000017,13.096016,0.21485212,1.3546573e+15,56.373811,1.2209191e+17,2.8732645,base_800
000018,11.321364,0.21420937,1.4831308e+16,58.70631,2.9936386e+17,2.7597735,base_800
000019,18.334006,0.21909423,2.193226e+16,74.16433,7.6214492e+16,2.4020284,base_800
000020,16.851487,0.28587254,3.3801317e+16,35.878552,1.1465662e+17,3.9793464,base_800
000021,21.654884,0.28414132,2.4171402e+16,85.042735,8.9687529e+16,1.5798493,base_800
000022,10.015375,0.26113558,3.7994855e+15,52.488733,2.1827561e+17,1.5532405,base_800
000023,14.696542,0.22088032,1.6575743e+15,55.397159,7.9123218e+16,1.9053751,base_800
000024,10.009591,0.2806513,3.0740669e+16,81.986451,2.4157903e+17,3.0834964,base_800
000025,20.077902,0.25287687,7.6297721e+15,42.524476,1.5588931e+17,2.6532043,base_800
000026,16.225366,0.25725984,2.5989609e+15,64.038286,3.1275746e+17,1.9772106,base_800
000027,16.006632,0.2032404,1.3536139e+15,64.422238,3.95044e+17,3.0854369,base_800
000028,15.558077,0.1881803,1.3884459e+16,66.971319,3.5498357e+17,1.5305886,base_800
000029,18.21095,0.2257239,1.0647589e+15,43.861029,6.1868109e+16,2.4451959,base_800
000030,20.232607,0.19831683,9.0572215e+15,49.894581,5.7324512e+16,2.3510676,base_800
000031,21.676922,0.23480245,7.7911232e+15,55.629129,1.2994692e+17,3.8477872,base_800
000032,11.852955,0.20075239,5.0597656e+15,52.268735,3.3354357e+17,1.6644617,base_800
000033,11.918936,0.25041714,1.7304737e+16,44.504801,1.8014194e+17,2.2274438,base_800
000034,11.079144,0.29634293,3.3965801e+15,86.492044,5.5305578e+16,3.4788341,base_800
000035,12.661466,0.23085284,1.9334664e+16,81.658655,1.7931873e+17,3.569769,base_800
000036,20.76148,0.20979887,1.8643884e+15,69.820563,3.5721242e+17,1.6897323,base_800
000037,11.668951,0.29680155,7.434229e+15,43.758438,2.5494315e+17,2.7976035,base_800
000038,13.801874,0.2418235,7.3864378e+15,51.117641,1.6215292e+17,3.2221294,base_800
000039,14.376567,0.28842141,7.9459104e+15,69.539899,2.183466e+17,1.920156,base_800
