sample_id,converged,fail_reason,runtime_sec,vth_v,vth_flag,gm_max_s_per_mm,ron_ohm_mm,idsat_a_per_mm
0,1,,147.491,0.62686105,bracketed,0.066230659,4.4618158,0.11212084
1,1,,156.554,0.03125,lt_min,2.59E-05,43.970109,0.010100068
2,1,,185.838,0.6288864,bracketed,0.065555944,7.9012735,0.057304462
3,1,,123.413,-1.875,lt_min,1.75E-05,32.367118,0.01076786
4,1,,240.138,-0.40636941,bracketed,0.15313729,3.9482595,0.28597348
5,1,,174.042,1.3526524,bracketed,0.055336216,4.669422,0.67634785
6,1,,205.35,0.8659524,bracketed,0.067004917,5.1452934,0.16714276
7,0,empty_output_log,290.964,,empty_output_log,,,
8,1,,170.793,2.0592557,bracketed,0.096230057,5.3827121,0.36451668
9,0,aborted,285.951,0.70191049,bracketed,0.070856952,5.0805915,0.084399927
10,1,,173.096,0.065541655,bracketed,0.48771188,4.1143188,0.81965121
11,1,,145.295,0.14990015,bracketed,0.12091743,4.2115457,0.26313717
12,1,,148.62,1.0162467,bracketed,0.046561625,5.889662,0.09900763
13,1,,134.314,-0.75,gt_max,5.80E-06,6.5494696,0.42316533
14,1,,144.311,0.50442473,bracketed,0.14025935,4.4339908,0.44857111
15,0,empty_output_log,90.938,,empty_output_log,,,
16,1,,137.892,1.1343771,bracketed,0.03848547,8.7630506,0.050778162
17,1,,99.927,1.5640636,bracketed,0.12039184,4.9655732,0.36009558
18,1,,118.064,2.5070552,bracketed,0.071653808,5.795821,0.33534376
19,1,,154.927,1.0876579,bracketed,0.17150145,4.800022,0.30523022
20,1,,71.686,-0.75,lt_min,2.27E-06,47.588296,0.009026863
21,1,,52.241,-2.25,lt_min,8.56E-06,24.523408,0.012450277
22,1,,175.557,1.7714043,bracketed,0.017911426,9.8006628,0.060003618
23,0,empty_output_log,128.361,,empty_output_log,,,
24,1,,270.152,2.0043388,bracketed,0.023886079,23.611779,0.021591226
25,1,,145.258,-0.65625,lt_min,7.89E-05,6.6587828,0.05099081
26,0,empty_transfer_log,51.659,,empty_transfer_log,,,
27,1,,165.636,2.610847,bracketed,0.087114593,8192.9096,0.000525781
28,0,empty_output_log,109.413,,empty_output_log,,,
29,1,,245.872,-0.42266184,bracketed,0.085213318,3.5213577,0.22193632
30,0,empty_output_log,136.719,,empty_output_log,,,
31,1,,291.185,-1.3758003,bracketed,0.13576928,4.6078808,0.14005452
32,1,,309.003,2.1024938,bracketed,0.15286251,9.3975058,0.035529258
33,1,,132.259,1.0129434,bracketed,0.033161651,8.1125569,0.076047607
34,1,,256.636,2.0667034,bracketed,0.006595272,72.750251,0.007690488
35,1,,197.163,3.1712574,bracketed,0.037792058,6.2963943,0.1811594
36,1,,291.404,1.7207822,bracketed,0.15162527,5.363839,0.2996341
37,1,,236.446,0.68384321,bracketed,0.002018741,86.052301,0.006543785
38,1,,370.09,1.0276155,bracketed,0.058329707,6.827837,0.093316125
39,1,,163.039,-0.32741361,bracketed,0.017168241,40.593949,0.010672997
40,1,,234.88,0.85547085,bracketed,0.000936404,157.52305,0.003196363
41,1,,197.407,1.0334009,bracketed,0.014708193,14.110924,0.041900811
42,1,,114.242,2.3165645,bracketed,0.00487717,49.295538,0.011417974
43,1,,88.592,-1.5,lt_min,1.59E-06,180.63748,0.002217722
44,1,,118.979,2.1896309,bracketed,0.004506346,59.521581,0.00956829
45,1,,164.202,-1.1838236,bracketed,0.004554688,184.33744,0.002100533
46,1,,217.337,0.13659758,bracketed,0.024791249,17.061939,0.025706076
47,1,,207.616,2.5792308,bracketed,0.27833038,6.6919908,0.43570592
48,1,,105.831,-0.23402694,bracketed,0.016376192,28.723631,0.015827716
49,0,empty_output_log,237.84,,empty_output_log,,,
50,1,,283.917,2.2159466,bracketed,0.12278539,6.0230097,0.39833005
51,1,,179.133,1.3373364,bracketed,0.064160024,5.5961189,0.48081361
