sample_id,split,vd_selected,vg_fixed,idsat_true,idsat_pred,abs_error,t_AlGaN_nm,x_AlGaN,N_AlGaN_cm3,t_pGaN_nm,N_pGaN_cm3,Lgd_um,vth_v,pred_rank,tcad_rank,selected_fraction_pct
001202,test,15.0,5.0,0.8214376173,0.8070596919932594,0.0143779253067405,10.717702,0.18,1.7755236e+16,35.0,6.4253885e+16,2.867811,1.2886522,1,2,0.8547008547008548
001348,test,15.0,5.0,0.7834721288000001,0.8049145940580331,0.021442465258033,10.159656,0.20036248,1.174536e+16,35.776968,1.08084e+17,2.6932384,1.2758039,2,5,1.7094017094017095
000924,test,15.0,5.0,0.8226976042,0.8019224336172724,0.0207751705827275,11.402564,0.18599704,1.7044055e+16,35.116643,8.5955409e+16,3.0822233,1.1827597,3,1,2.564102564102564
001482,test,15.0,5.0,0.8160060869000001,0.7977649022860918,0.0182411846139083,10.231323,0.19879326,4.9295018e+16,35.590288,5.4403267e+16,1.6836933,1.1904629,4,3,3.418803418803419
001274,test,15.0,5.0,0.7955942327,0.777450682865397,0.0181435498346029,10.773886,0.19877531,4.4488318e+16,36.219979,6.8153485e+16,1.7537945,1.1603756,5,4,4.273504273504273
001001,test,15.0,5.0,0.7724139870000001,0.7665579932865335,0.0058559937134665,10.240575,0.19355559,1.6798487e+16,37.308514,6.4296736e+16,4.0,1.3205007,6,7,5.128205128205128
001084,test,15.0,5.0,0.7824659211,0.76312076929639,0.01934515180361,10.0,0.20226887,4.2234167e+16,36.847422,5.2168177e+16,1.5,1.2323183,7,6,5.982905982905983
001224,test,15.0,5.0,0.7637812981000001,0.7619074655948853,0.0018738325051147,10.731228,0.19794958,2.8447405e+16,38.2335,5.5796879e+16,1.7436011,1.2312017,8,8,6.837606837606838
001027,test,15.0,5.0,0.7403450176999999,0.7583249758822465,0.0179799581822465,10.491453,0.20431801,1430647100000000.0,35.35204,1.0670625e+17,3.4931803,1.193734,9,12,7.6923076923076925
000986,test,15.0,5.0,0.7516271432,0.7521535466522342,0.0005264034522342,12.615416,0.1891321,2.5930435e+16,39.270095,1.0070348e+17,1.6974691,1.0125,10,9,8.547008547008547
001067,test,15.0,5.0,0.7510143169,0.7464529980535795,0.0045613188464205,11.129367,0.19463681,1238012000000000.0,37.061296,1.640056e+17,3.4728812,1.3214036,11,10,9.401709401709402
001354,test,15.0,5.0,0.7362829676,0.7295040283159495,0.0067789392840504,10.601827,0.20227195,3.3430385e+16,38.753178,5.9644956e+16,1.8753596,1.2354203,12,13,10.256410256410255
000876,test,15.0,5.0,0.7487488116000001,0.7213191952327593,0.0274296163672407,10.75065,0.18,4.1898965e+16,39.291476,6.9965648e+16,1.5,1.430526,13,11,11.11111111111111
001130,test,15.0,5.0,0.704917234,0.7133898088129913,0.0084725748129913,11.510661,0.20065581,1.6681206e+16,39.004102,1.3279715e+17,2.4067704,1.2448332,14,15,11.965811965811966
000858,test,15.0,5.0,0.6944643529,0.7085998198322283,0.0141354669322283,11.65529,0.19580831,1.5336886e+16,41.054634,1.1776608e+17,2.6058096,1.3370864,15,17,12.82051282051282
000804,test,15.0,5.0,0.7002029964,0.7072241287448755,0.0070211323448754,10.942474,0.20043919,3.4780933e+16,41.449539,5.5428127e+16,1.8718973,1.3059013,16,16,13.675213675213676
001068,test,15.0,5.0,0.7165002270999999,0.7010366115005519,0.015463615599448,12.271141,0.19001761,5e+16,38.871059,2.2515252e+17,3.1445445,1.3427637,17,14,14.529914529914532
001184,test,15.0,5.0,0.6885530769000001,0.6968092433461593,0.0082561664461592,10.375563,0.18897031,3.4595096e+16,42.988437,5.7501808e+16,1.5,1.5356061,18,18,15.384615384615385
001190,test,15.0,5.0,0.6675357227000001,0.6936332895338273,0.0260975668338272,12.17097,0.18873201,1.9856155e+16,43.117466,1.3568535e+17,2.4138075,1.4061045,19,21,16.23931623931624
001336,test,15.0,5.0,0.6795719168000001,0.6618035823960534,0.0177683344039466,17.325631,0.18,1064194300000000.0,45.117529,1.8838975e+17,1.9765561,1.036173,20,19,17.094017094017094
001010,test,15.0,5.0,0.6397644195000001,0.6581636243511824,0.0183992048511822,12.478271,0.19704221,1.6454003e+16,42.864166,1.7686107e+17,2.4941732,1.2848926,21,23,17.94871794871795
001066,test,15.0,5.0,0.6566155234,0.6469601681695019,0.009655355230498,13.024874,0.19272315,4.0228147e+16,44.766378,9.7766659e+16,1.6311249,1.3004013,22,22,18.803418803418804
001017,test,15.0,5.0,0.6188554293,0.6291804403239992,0.0103250110239991,10.743469,0.2065986,3.286034e+16,44.385898,8.5508835e+16,1.5485505,1.3721955,23,25,19.65811965811966
001418,test,14.53125,5.0,0.6141859668,0.6256170673473223,0.0114311005473222,20.105834,0.18,4424830700000000.0,51.37742,2.5525181e+17,2.6672529,1.2298851,24,26,20.51282051282051
000822,test,15.0,5.0,0.6335130029,0.6210064754779512,0.0125065274220488,11.651486,0.20329033,2.002851e+16,41.559652,1.8126473e+17,1.92593,1.3435028,25,24,21.367521367521366
000834,test,15.0,5.0,0.599852424,0.6188230926313878,0.0189706686313877,11.317604,0.20224057,1.4599288e+16,45.328626,1.3975814e+17,2.3052836,1.553475,26,27,22.22222222222222
001582,test,15.0,5.0,0.6700239975,0.6145324104756059,0.055491587024394,11.660614,0.2031828,1336261900000000.0,37.16133,3.1521608e+17,1.709333,1.3714188,27,20,23.076923076923077
001057,test,15.0,5.0,0.5710368843,0.6085303397726082,0.0374934554726081,10.60119,0.20565355,2.6559825e+16,47.926446,1.0130681e+17,1.6841761,1.6535902,28,30,23.931623931623932
000997,test,15.0,5.0,0.556964832,0.6063183131334209,0.0493534811334208,10.0,0.20224669,3.4076128e+16,49.946739,9.6002718e+16,1.611644,1.8441964,29,34,24.786324786324787
000141,test,15.0,5.0,0.588442857,0.6036086006273601,0.0151657436273601,10.374358,0.2075435,2.8066186e+16,46.011729,9.5001474e+16,1.967835,1.5469841,30,28,25.64102564102564
001498,test,15.0,5.0,0.5627762377,0.576202327017033,0.013426089317033,10.055486,0.20885969,2.9814736e+16,48.078261,9.8344282e+16,1.8819718,1.6949269,31,31,26.495726495726498
001219,test,15.0,5.0,0.5576507708,0.5660498519865794,0.0083990811865793,16.923802,0.19885869,1.657044e+16,49.499205,2.154586e+17,3.4740638,1.0282784,32,33,27.350427350427353
001172,test,15.0,5.0,0.588343233,0.5529599052082799,0.0353833277917201,17.4604,0.18690318,1423472800000000.0,48.394977,3.0740273e+17,1.8348902,1.4063595,33,29,28.205128205128204
001306,test,15.0,5.0,0.5596933118,0.5225461279244082,0.0371471838755917,19.095643,0.18,4.4944349e+16,60.25584,1.3476503e+17,2.2502671,1.4022443,34,32,29.059829059829063
