sample_id,tcad_vth,vth_class,t_AlGaN_nm,x_AlGaN,N_AlGaN_cm3,t_pGaN_nm,N_pGaN_cm3,Lgd_um,pred_class,pred_vth
1136,0.73635024,mid,21.444698,0.19213686,1.3982472e+16,60.043159,1.1125571e+17,3.4592857,low,0.44123459047769964
1567,3.5502357,high,10.894649,0.18764354,1901654700000000.0,86.904489,7.1356681e+16,2.0278813,high,3.550700210840919
857,0.13406126,low,21.372705,0.19951837,1000000000000000.0,51.073117,6.0230583e+16,2.0527302,low,0.01730225462091961
1383,1.2606181,mid,10.242888,0.25061434,1000000000000000.0,43.914038,1.4729993e+17,3.639873,mid,1.2102344586296157
714,-2.2137932,low,20.66033,0.31161872,3.0642143e+16,74.413859,3.3650674e+17,3.4164827,low,-2.2420780918161918
8,2.0592557,mid,13.028896,0.2015215,1097948500000000.0,73.155721,5.4307613e+16,1.6834839,mid,2.0982538373064217
440,-0.82302384,low,17.553466,0.2756714,8208927900000000.0,62.126689,5.536619e+16,3.1922983,low,-0.7659090409413631
1328,1.6201997,mid,10.318198,0.18,8465852000000000.0,40.164522,1.2124448e+17,2.9315426,mid,1.6156464191540323
1116,-0.70328358,low,22.0,0.20289935,1.1671546e+16,60.832113,1.1597335e+17,3.9315908,low,-0.6363603367587573
1385,1.168078,mid,18.017734,0.21933163,2.5015292e+16,69.826246,8.3004528e+16,2.7065468,mid,1.1312494032538636
130,-1.6520392,low,20.246126,0.27547845,5504535200000000.0,76.185513,2.977878e+17,2.273063,low,-1.6759255476269672
1107,1.0711531,mid,10.629744,0.21334675,1000000000000000.0,35.965361,6.8870006e+16,2.9839813,mid,1.0324254446925443
702,0.5932571,low,18.145385,0.23301141,2.1847433e+16,70.620236,2.5092063e+17,3.6689687,mid,1.4655483092961459
362,1.8174852,mid,12.086926,0.24505279,1103312700000000.0,66.182971,2.7095866e+17,3.3105441,mid,1.9101309225622232
1554,0.048265369,low,21.162363,0.18865426,1491429500000000.0,52.446529,5e+16,1.8002945,low,0.12544640567120158
568,-0.65681964,low,16.446551,0.30628756,9969083000000000.0,54.068529,3.4888646e+17,3.0006856,low,-0.6284676542781316
1564,2.8145814,mid,21.544226,0.19932089,1507617800000000.0,88.06445,3.0093552e+17,3.7209152,mid,2.8104728484721466
630,-2.625,low,20.829429,0.3164281,1406870100000000.0,37.671653,1.6653134e+17,1.7220694,low,-2.613441894903136
626,-1.9255976,low,20.449918,0.28257544,1.522925e+16,83.322846,7.9393584e+16,3.5719476,low,-1.8337193006973385
616,0.10964619,low,17.395435,0.22769703,4356768300000000.0,58.066035,1.3649556e+17,2.8633009,low,0.20750561555505903
1183,0.79313262,mid,14.674568,0.18400548,1021838600000000.0,38.766065,1.4808302e+17,2.5038929,mid,0.8575359676472313
809,0.47104385,low,21.519497,0.18485199,1350334000000000.0,53.154702,5.271518e+16,1.6690914,low,0.34330031940915795
957,1.0320252,mid,21.935762,0.18394928,2.0220721e+16,48.615212,3.7086076e+17,3.8876221,mid,1.023588185782904
455,0.81543185,mid,19.908443,0.31240674,2486772200000000.0,71.56979,3.2478559e+17,3.0439804,low,-2.112229554446914
1137,1.6122347,mid,10.676432,0.21192333,4.210351e+16,48.727093,9.9828196e+16,2.0232938,mid,1.5812047266843396
546,-0.92307862,low,18.999221,0.26633605,1368792300000000.0,66.355308,1.2816682e+17,2.1197501,low,-0.8880561063329696
774,-0.44053488,low,16.306217,0.25217507,1951276600000000.0,44.434881,2.1619107e+17,2.6979197,low,-0.3121465218545717
1112,1.3179848,mid,17.822617,0.18,1413799100000000.0,48.275046,2.5728654e+17,1.7898497,mid,1.3265235286756019
477,2.1198485,mid,13.417791,0.28749344,1378520400000000.0,68.808008,3.688062e+17,2.7393092,mid,2.126657692113968
1380,1.0458533,mid,14.155663,0.31577846,2803239900000000.0,61.747959,3.6218251e+17,4.0,mid,1.0900409071300636
232,1.0662442,mid,17.669903,0.23320572,4938487800000000.0,74.984801,8.3465256e+16,1.9585497,mid,1.1482705695991393
1193,0.30835244,low,17.144054,0.20324348,1965962900000000.0,40.977371,8.5289148e+16,2.3139932,low,0.19266025591419605
1424,1.701083,mid,10.263921,0.25676741,1847488900000000.0,52.430274,1.8268375e+17,3.6305837,mid,1.672392808110704
1095,0.90793174,mid,19.700298,0.18,5559467800000000.0,49.52246,1.6589825e+17,2.6257919,mid,0.9328901847059602
1153,-0.3729666,low,18.031712,0.21264005,1431487000000000.0,40.360845,8.5710772e+16,2.0989746,low,-0.3040738345760907
969,0.019491676,low,22.0,0.19453623,1000000000000000.0,52.982052,6.4496377e+16,1.8322762,low,0.08073404130043621
1011,1.0125052,mid,16.222637,0.18,1.6211267e+16,46.420435,9.6076213e+16,3.0986461,mid,0.9251003840844605
685,2.01745,mid,19.802166,0.18126136,1309860300000000.0,89.178786,5.1058045e+16,2.245202,mid,2.0330656576405026
1073,-0.24950288,low,18.663397,0.20217064,1000000000000000.0,45.979206,1.0494475e+17,1.8851285,low,-0.12266725023777175
1464,1.421762,mid,10.30051,0.25301048,1000000000000000.0,46.912722,1.7460015e+17,3.6450501,mid,1.391232069689633
673,1.651561,mid,21.946224,0.23762495,2.0494741e+16,71.690868,3.7275693e+17,3.4835911,mid,1.6775770558001173
300,2.0370529,mid,18.064109,0.20407463,1.1338274e+16,65.600232,2.9032076e+17,2.3545619,mid,2.0557900547110473
53,-0.48859433,low,21.468238,0.20837242,3701338100000000.0,40.765272,7.1663804e+16,2.2509039,low,-0.5336536573204929
1297,1.884701,mid,20.542172,0.1998771,1.0595901e+16,77.526012,1.3109425e+17,1.9776866,mid,1.8467907810244977
918,1.4328199,mid,11.561933,0.25452048,1.7291144e+16,60.380645,7.5615471e+16,2.4123912,mid,1.3585406501776707
1429,1.1243966,mid,11.495295,0.262977,4.6995103e+16,52.898237,9.1290618e+16,2.3702014,mid,1.1185174834598448
1273,0.20668644,low,16.535042,0.23382727,1.9230445e+16,68.771517,1.4203332e+17,3.5892013,mid,1.132183629310551
